student_id,name,email,university,tier,cgpa,skills,interests,location,preferred_location
STU_0028,student 28,student28@university.edu,iit bombay,Tier-1,7.27,"web development, web development",software development,delhi,mumbai
STU_0029,student 29,student29@university.edu,bits pilani,Tier-1,6.92,"python, sql, machine learning, java",web development,hyderabad,pune
STU_0030,student 30,student30@university.edu,bits pilani,Tier-3,9.0,"data analysis, data analysis","data science, ai/ml",bangalore,delhi
STU_0031,student 31,student31@university.edu,nit trichy,Tier-2,9.45,"sql, data analysis, java","data science, software development",pune,delhi
STU_0032,student 32,student32@university.edu,bits pilani,Tier-1,8.08,"web development, python, sql","ai/ml, software development",pune,pune
STU_0033,student 33,student33@university.edu,bits pilani,Tier-1,7.02,"sql, python",mobile apps,chennai,bangalore
STU_0034,student 34,student34@university.edu,iit delhi,Tier-3,7.32,"data analysis, python, web development","mobile apps, mobile apps",hyderabad,chennai
STU_0035,student 35,student35@university.edu,nit trichy,Tier-1,6.56,"python, machine learning, java, web development","software development, software development",pune,mumbai
STU_0036,student 36,student36@university.edu,vit chennai,Tier-3,9.24,"machine learning, web development, python, python","mobile apps, ai/ml",bangalore,mumbai
STU_0037,student 37,student37@university.edu,nit trichy,Tier-3,6.85,"python, sql","mobile apps, web development",chennai,bangalore
STU_0038,student 38,student38@university.edu,vit chennai,Tier-1,8.23,"java, sql, sql",ai/ml,bangalore,bangalore
STU_0039,student 39,student39@university.edu,iit delhi,Tier-1,7.32,"data analysis, java, java","data science, data science",hyderabad,bangalore
STU_0040,student 40,student40@university.edu,iit bombay,Tier-3,8.16,"python, sql, web development","ai/ml, mobile apps",pune,hyderabad
STU_0041,student 41,student41@university.edu,bits pilani,Tier-2,8.45,"java, data analysis, machine learning","ai/ml, web development",mumbai,hyderabad
STU_0042,student 42,student42@university.edu,iit delhi,Tier-2,8.99,"web development, java","data science, web development",pune,pune
STU_0043,student 43,student43@university.edu,bits pilani,Tier-3,7.12,"machine learning, web development",web development,hyderabad,hyderabad
STU_0044,student 44,student44@university.edu,iit bombay,Tier-3,6.53,"web development, machine learning, machine learning","ai/ml, software development",pune,delhi
STU_0045,student 45,student45@university.edu,iit bombay,Tier-3,6.91,"sql, data analysis, data analysis, java","data science, web development",pune,pune
STU_0046,student 46,student46@university.edu,iit delhi,Tier-3,9.2,"sql, web development, web development, sql",mobile apps,delhi,mumbai
STU_0047,student 47,student47@university.edu,iit bombay,Tier-2,9.12,"web development, machine learning, python, machine learning",software development,pune,chennai
STU_0048,student 48,student48@university.edu,vit chennai,Tier-1,8.29,"sql, machine learning, web development, web development",software development,pune,delhi
STU_0049,student 49,student49@university.edu,iit bombay,Tier-3,8.3,"sql, java, data analysis","web development, web development",bangalore,mumbai
STU_0050,student 50,student50@university.edu,bits pilani,Tier-2,8.5,"machine learning, web development",mobile apps,mumbai,mumbai
STU_0051,student 51,student51@university.edu,bits pilani,Tier-2,7.03,"sql, web development, machine learning",mobile apps,bangalore,pune
STU_0052,student 52,student52@university.edu,bits pilani,Tier-3,9.24,"java, machine learning, data analysis, java","data science, ai/ml",bangalore,bangalore
STU_0053,student 53,student53@university.edu,bits pilani,Tier-1,7.76,"python, web development, machine learning",mobile apps,chennai,bangalore
STU_0054,student 54,student54@university.edu,vit chennai,Tier-2,7.65,"python, data analysis, sql","software development, software development",delhi,delhi
STU_0055,student 55,student55@university.edu,nit trichy,Tier-1,8.06,"machine learning, java, web development, python",mobile apps,bangalore,bangalore
STU_0056,student 56,student56@university.edu,iit delhi,Tier-2,6.64,"web development, java, machine learning","web development, data science",hyderabad,mumbai
STU_0057,student 57,student57@university.edu,bits pilani,Tier-1,7.0,"data analysis, python, machine learning",data science,hyderabad,bangalore
STU_0058,student 58,student58@university.edu,iit bombay,Tier-1,8.71,"java, sql",web development,pune,hyderabad
STU_0059,student 59,student59@university.edu,bits pilani,Tier-1,6.75,"data analysis, data analysis","software development, mobile apps",chennai,bangalore
STU_0060,student 60,student60@university.edu,iit bombay,Tier-2,8.31,"data analysis, machine learning","web development, data science",delhi,mumbai
STU_0061,student 61,student61@university.edu,iit bombay,Tier-3,7.24,"java, python",software development,delhi,pune
STU_0062,student 62,student62@university.edu,bits pilani,Tier-2,7.67,"java, java, python, web development","mobile apps, web development",pune,delhi
STU_0063,student 63,student63@university.edu,vit chennai,Tier-3,7.37,"python, java, sql","web development, software development",hyderabad,chennai
STU_0064,student 64,student64@university.edu,iit bombay,Tier-2,7.57,"machine learning, java",ai/ml,mumbai,bangalore
STU_0065,student 65,student65@university.edu,iit bombay,Tier-2,8.66,"machine learning, machine learning, java, python",software development,chennai,mumbai
STU_0066,student 66,student66@university.edu,bits pilani,Tier-3,7.39,"sql, machine learning, java","software development, ai/ml",pune,chennai
STU_0067,student 67,student67@university.edu,iit bombay,Tier-2,8.2,"java, web development","mobile apps, ai/ml",chennai,chennai
STU_0068,student 68,student68@university.edu,iit bombay,Tier-3,7.93,"python, sql, machine learning, java",mobile apps,hyderabad,hyderabad
STU_0069,student 69,student69@university.edu,bits pilani,Tier-1,8.49,"web development, python",web development,hyderabad,chennai
STU_0070,student 70,student70@university.edu,bits pilani,Tier-3,9.31,"web development, sql, machine learning",mobile apps,mumbai,pune
STU_0071,student 71,student71@university.edu,iit delhi,Tier-1,8.7,"sql, java, python, data analysis","web development, data science",mumbai,mumbai
STU_0072,student 72,student72@university.edu,vit chennai,Tier-3,7.14,"web development, python","ai/ml, software development",delhi,mumbai
STU_0073,student 73,student73@university.edu,vit chennai,Tier-2,6.59,"python, java, sql",data science,chennai,bangalore
STU_0074,student 74,student74@university.edu,iit bombay,Tier-3,7.29,"web development, java, sql, java","data science, mobile apps",chennai,bangalore
STU_0075,student 75,student75@university.edu,vit chennai,Tier-1,8.29,"web development, python, python",data science,hyderabad,bangalore
STU_0076,student 76,student76@university.edu,iit bombay,Tier-2,6.65,"machine learning, data analysis, sql, machine learning",web development,delhi,pune
STU_0077,student 77,student77@university.edu,iit delhi,Tier-3,7.99,"data analysis, java, web development","mobile apps, ai/ml",pune,chennai
STU_0078,student 78,student78@university.edu,bits pilani,Tier-2,8.29,"machine learning, web development, python",data science,chennai,chennai
STU_0079,student 79,student79@university.edu,bits pilani,Tier-2,7.5,"python, python, sql, data analysis",ai/ml,delhi,hyderabad
STU_0080,student 80,student80@university.edu,bits pilani,Tier-2,8.81,"machine learning, web development","data science, software development",delhi,pune
STU_0081,student 81,student81@university.edu,vit chennai,Tier-2,6.82,"machine learning, java",web development,hyderabad,bangalore
STU_0082,student 82,student82@university.edu,iit delhi,Tier-2,6.73,"machine learning, sql",web development,delhi,delhi
STU_0083,student 83,student83@university.edu,vit chennai,Tier-2,8.68,"data analysis, java",ai/ml,mumbai,hyderabad
STU_0084,student 84,student84@university.edu,vit chennai,Tier-3,7.99,"data analysis, machine learning, web development, java","web development, data science",mumbai,delhi
STU_0085,student 85,student85@university.edu,iit delhi,Tier-1,8.57,"data analysis, data analysis, java, machine learning","data science, software development",bangalore,chennai
STU_0086,student 86,student86@university.edu,iit delhi,Tier-2,7.8,"data analysis, python, sql","mobile apps, web development",hyderabad,hyderabad
STU_0087,student 87,student87@university.edu,iit delhi,Tier-3,7.24,"data analysis, machine learning, data analysis","software development, ai/ml",pune,hyderabad
STU_0088,student 88,student88@university.edu,iit delhi,Tier-3,8.96,"machine learning, web development, web development",data science,bangalore,mumbai
STU_0089,student 89,student89@university.edu,bits pilani,Tier-2,8.9,"python, java",mobile apps,mumbai,chennai
STU_0090,student 90,student90@university.edu,nit trichy,Tier-2,8.58,"data analysis, python, machine learning","data science, data science",bangalore,chennai
STU_0091,student 91,student91@university.edu,nit trichy,Tier-2,7.32,"machine learning, machine learning","software development, mobile apps",hyderabad,pune
STU_0092,student 92,student92@university.edu,iit delhi,Tier-1,8.27,"data analysis, web development, machine learning, sql",mobile apps,hyderabad,hyderabad
STU_0093,student 93,student93@university.edu,nit trichy,Tier-2,7.58,"web development, machine learning, machine learning","mobile apps, ai/ml",delhi,chennai
STU_0094,student 94,student94@university.edu,nit trichy,Tier-2,6.77,"python, data analysis","ai/ml, mobile apps",chennai,hyderabad
STU_0095,student 95,student95@university.edu,iit delhi,Tier-2,9.25,"machine learning, data analysis",web development,delhi,pune
STU_0096,student 96,student96@university.edu,nit trichy,Tier-1,6.91,"java, python, web development","ai/ml, ai/ml",hyderabad,pune
STU_0097,student 97,student97@university.edu,vit chennai,Tier-3,9.35,"machine learning, java, web development",web development,mumbai,mumbai
STU_0098,student 98,student98@university.edu,iit bombay,Tier-3,7.84,"machine learning, python, java",software development,pune,hyderabad
STU_0099,student 99,student99@university.edu,iit bombay,Tier-2,7.06,"java, python","mobile apps, mobile apps",mumbai,chennai
STU_0100,student 100,student100@university.edu,iit delhi,Tier-2,8.13,"java, sql","web development, software development",delhi,chennai
STU_0101,student 101,student101@university.edu,bits pilani,Tier-2,9.12,"python, python","software development, web development",pune,hyderabad
STU_0102,student 102,student102@university.edu,iit delhi,Tier-3,8.7,"sql, machine learning, data analysis, java",mobile apps,hyderabad,hyderabad
STU_0103,student 103,student103@university.edu,bits pilani,Tier-2,8.92,"data analysis, sql, data analysis","data science, ai/ml",mumbai,hyderabad
STU_0104,student 104,student104@university.edu,iit bombay,Tier-1,8.48,"data analysis, machine learning, web development, machine learning","web development, data science",hyderabad,bangalore
STU_0105,student 105,student105@university.edu,iit delhi,Tier-3,8.58,"machine learning, python, java",web development,pune,chennai
STU_0106,student 106,student106@university.edu,vit chennai,Tier-3,9.05,"java, web development, sql","ai/ml, mobile apps",pune,pune
STU_0107,student 107,student107@university.edu,nit trichy,Tier-3,7.25,"java, data analysis, data analysis",ai/ml,mumbai,chennai
STU_0108,student 108,student108@university.edu,bits pilani,Tier-3,7.97,"sql, machine learning, data analysis",ai/ml,hyderabad,bangalore
STU_0109,student 109,student109@university.edu,nit trichy,Tier-2,7.16,"web development, sql","mobile apps, web development",bangalore,hyderabad
STU_0110,student 110,student110@university.edu,nit trichy,Tier-2,9.46,"sql, java, sql","mobile apps, software development",hyderabad,mumbai
STU_0111,student 111,student111@university.edu,iit delhi,Tier-3,9.33,"data analysis, machine learning, java","ai/ml, software development",pune,hyderabad
STU_0112,student 112,student112@university.edu,nit trichy,Tier-3,6.62,"python, java, python",data science,hyderabad,hyderabad
STU_0113,student 113,student113@university.edu,vit chennai,Tier-1,8.62,"data analysis, python",mobile apps,delhi,bangalore
STU_0114,student 114,student114@university.edu,nit trichy,Tier-1,9.28,"data analysis, python, data analysis, data analysis","web development, mobile apps",bangalore,chennai
STU_0115,student 115,student115@university.edu,iit delhi,Tier-2,7.04,"web development, machine learning, sql",mobile apps,chennai,hyderabad
STU_0116,student 116,student116@university.edu,vit chennai,Tier-3,8.2,"python, data analysis, python, web development","data science, data science",delhi,chennai
STU_0117,student 117,student117@university.edu,iit bombay,Tier-3,9.25,"java, web development",data science,chennai,delhi
STU_0118,student 118,student118@university.edu,nit trichy,Tier-1,6.6,"machine learning, python, machine learning","mobile apps, data science",mumbai,pune
STU_0119,student 119,student119@university.edu,iit delhi,Tier-2,8.59,"machine learning, machine learning","mobile apps, mobile apps",chennai,chennai
STU_0120,student 120,student120@university.edu,iit bombay,Tier-2,7.39,"data analysis, machine learning","ai/ml, ai/ml",hyderabad,mumbai
STU_0121,student 121,student121@university.edu,iit bombay,Tier-3,9.27,"web development, machine learning, data analysis","web development, web development",chennai,pune
STU_0122,student 122,student122@university.edu,bits pilani,Tier-3,9.41,"sql, data analysis","ai/ml, web development",pune,mumbai
STU_0123,student 123,student123@university.edu,vit chennai,Tier-3,9.33,"machine learning, sql, sql",data science,delhi,hyderabad
STU_0124,student 124,student124@university.edu,nit trichy,Tier-2,7.92,"sql, java",mobile apps,delhi,pune
STU_0125,student 125,student125@university.edu,iit delhi,Tier-2,9.09,"python, java, data analysis",software development,chennai,chennai
STU_0126,student 126,student126@university.edu,bits pilani,Tier-2,9.03,"java, web development, python, sql","mobile apps, data science",delhi,pune
STU_0127,student 127,student127@university.edu,vit chennai,Tier-1,7.46,"sql, web development","ai/ml, ai/ml",pune,hyderabad
STU_0128,student 128,student128@university.edu,bits pilani,Tier-3,8.99,"machine learning, data analysis","data science, ai/ml",delhi,bangalore
STU_0129,student 129,student129@university.edu,vit chennai,Tier-3,6.61,"sql, machine learning, python",web development,chennai,mumbai
STU_0130,student 130,student130@university.edu,vit chennai,Tier-3,8.29,"python, web development, machine learning, machine learning",mobile apps,bangalore,hyderabad
STU_0131,student 131,student131@university.edu,nit trichy,Tier-3,7.19,"machine learning, machine learning","mobile apps, data science",bangalore,bangalore
STU_0132,student 132,student132@university.edu,vit chennai,Tier-2,6.86,"java, web development, machine learning","ai/ml, software development",mumbai,pune
STU_0133,student 133,student133@university.edu,bits pilani,Tier-3,6.73,"data analysis, web development, sql, sql","ai/ml, software development",delhi,pune
STU_0134,student 134,student134@university.edu,vit chennai,Tier-3,8.59,"data analysis, web development, web development",data science,chennai,hyderabad
STU_0135,student 135,student135@university.edu,nit trichy,Tier-3,7.52,"web development, data analysis, java",ai/ml,delhi,chennai
STU_0136,student 136,student136@university.edu,nit trichy,Tier-2,8.67,"sql, web development, data analysis","software development, data science",hyderabad,pune
STU_0137,student 137,student137@university.edu,bits pilani,Tier-2,6.7,"web development, java, java",web development,pune,chennai
STU_0138,student 138,student138@university.edu,iit bombay,Tier-1,7.45,"web development, python, web development, web development","web development, data science",delhi,chennai
STU_0139,student 139,student139@university.edu,iit bombay,Tier-3,8.12,"java, web development, web development",mobile apps,delhi,chennai
STU_0140,student 140,student140@university.edu,vit chennai,Tier-2,8.87,"java, web development",data science,bangalore,delhi
STU_0141,student 141,student141@university.edu,iit delhi,Tier-2,7.46,"machine learning, python",data science,pune,bangalore
STU_0142,student 142,student142@university.edu,vit chennai,Tier-2,8.38,"python, machine learning, sql, web development",web development,chennai,bangalore
STU_0143,student 143,student143@university.edu,bits pilani,Tier-2,9.16,"web development, java, data analysis, machine learning",data science,delhi,pune
STU_0144,student 144,student144@university.edu,bits pilani,Tier-2,8.35,"machine learning, machine learning, java",software development,bangalore,pune
STU_0145,student 145,student145@university.edu,bits pilani,Tier-1,7.2,"python, web development, machine learning, web development","ai/ml, data science",mumbai,chennai
STU_0146,student 146,student146@university.edu,bits pilani,Tier-2,6.57,"java, web development, java",software development,pune,delhi
STU_0147,student 147,student147@university.edu,bits pilani,Tier-2,9.11,"python, python",mobile apps,bangalore,chennai
STU_0148,student 148,student148@university.edu,nit trichy,Tier-3,6.56,"python, python","data science, data science",bangalore,delhi
STU_0149,student 149,student149@university.edu,iit bombay,Tier-2,9.12,"java, machine learning","ai/ml, data science",bangalore,chennai
STU_0150,student 150,student150@university.edu,bits pilani,Tier-3,8.09,"python, java",data science,delhi,mumbai
STU_0151,student 151,student151@university.edu,iit delhi,Tier-2,9.32,"java, machine learning, web development",web development,delhi,mumbai
STU_0152,student 152,student152@university.edu,iit delhi,Tier-2,8.9,"java, sql, data analysis, python","mobile apps, ai/ml",mumbai,hyderabad
STU_0153,student 153,student153@university.edu,iit delhi,Tier-3,9.49,"python, machine learning, web development, sql",data science,hyderabad,chennai
STU_0154,student 154,student154@university.edu,iit delhi,Tier-2,7.55,"machine learning, python","mobile apps, data science",hyderabad,pune
STU_0155,student 155,student155@university.edu,nit trichy,Tier-1,8.8,"web development, web development, python, sql",ai/ml,hyderabad,bangalore
STU_0156,student 156,student156@university.edu,iit delhi,Tier-1,7.71,"web development, sql","web development, web development",pune,hyderabad
STU_0157,student 157,student157@university.edu,bits pilani,Tier-3,7.94,"python, web development, machine learning, web development","data science, ai/ml",pune,pune
STU_0158,student 158,student158@university.edu,vit chennai,Tier-2,8.38,"data analysis, machine learning, sql",web development,mumbai,mumbai
STU_0159,student 159,student159@university.edu,iit delhi,Tier-3,9.12,"sql, sql, machine learning, sql",software development,pune,chennai
STU_0160,student 160,student160@university.edu,nit trichy,Tier-2,9.45,"java, web development, web development, data analysis",software development,hyderabad,hyderabad
STU_0161,student 161,student161@university.edu,nit trichy,Tier-1,8.8,"java, data analysis, machine learning",web development,hyderabad,chennai
STU_0162,student 162,student162@university.edu,iit delhi,Tier-1,7.75,"python, python","ai/ml, mobile apps",bangalore,mumbai
STU_0163,student 163,student163@university.edu,vit chennai,Tier-2,7.76,"java, sql, python",data science,pune,hyderabad
STU_0164,student 164,student164@university.edu,iit delhi,Tier-2,8.71,"machine learning, data analysis, python",data science,delhi,mumbai
STU_0165,student 165,student165@university.edu,nit trichy,Tier-2,7.22,"python, java","ai/ml, mobile apps",delhi,delhi
STU_0166,student 166,student166@university.edu,iit bombay,Tier-2,6.83,"data analysis, java, java, web development",mobile apps,bangalore,mumbai
STU_0167,student 167,student167@university.edu,bits pilani,Tier-3,7.56,"java, data analysis, web development, web development",mobile apps,bangalore,chennai
STU_0168,student 168,student168@university.edu,nit trichy,Tier-2,7.36,"machine learning, java, sql, java","ai/ml, ai/ml",bangalore,bangalore
STU_0169,student 169,student169@university.edu,iit delhi,Tier-2,7.39,"python, java, python, python","ai/ml, ai/ml",delhi,mumbai
STU_0170,student 170,student170@university.edu,bits pilani,Tier-3,7.2,"data analysis, machine learning, java, python","data science, web development",hyderabad,pune
STU_0171,student 171,student171@university.edu,iit delhi,Tier-2,6.63,"data analysis, machine learning, data analysis",web development,bangalore,bangalore
STU_0172,student 172,student172@university.edu,iit delhi,Tier-2,6.55,"machine learning, sql","software development, ai/ml",mumbai,delhi
STU_0173,student 173,student173@university.edu,iit bombay,Tier-3,9.46,"python, web development, sql",mobile apps,bangalore,hyderabad
STU_0174,student 174,student174@university.edu,bits pilani,Tier-3,7.78,"data analysis, python, machine learning","ai/ml, software development",chennai,hyderabad
STU_0175,student 175,student175@university.edu,bits pilani,Tier-1,7.65,"java, web development","ai/ml, ai/ml",bangalore,bangalore
STU_0176,student 176,student176@university.edu,iit bombay,Tier-3,8.54,"data analysis, web development","web development, web development",delhi,hyderabad
STU_0177,student 177,student177@university.edu,nit trichy,Tier-2,7.15,"data analysis, data analysis, machine learning",data science,pune,mumbai
STU_0178,student 178,student178@university.edu,iit delhi,Tier-2,9.35,"data analysis, data analysis, sql, python","mobile apps, ai/ml",bangalore,bangalore
STU_0179,student 179,student179@university.edu,vit chennai,Tier-2,8.86,"machine learning, web development, web development",ai/ml,pune,chennai
STU_0180,student 180,student180@university.edu,iit delhi,Tier-3,6.77,"java, web development, web development","data science, data science",chennai,mumbai
STU_0181,student 181,student181@university.edu,iit delhi,Tier-2,7.75,"machine learning, sql, java, sql",data science,mumbai,mumbai
STU_0182,student 182,student182@university.edu,nit trichy,Tier-2,9.14,"machine learning, web development, data analysis, sql","mobile apps, ai/ml",pune,mumbai
STU_0183,student 183,student183@university.edu,iit delhi,Tier-2,9.33,"web development, python",software development,hyderabad,chennai
STU_0184,student 184,student184@university.edu,iit bombay,Tier-2,7.9,"data analysis, sql, web development, data analysis","data science, ai/ml",bangalore,delhi
STU_0185,student 185,student185@university.edu,iit bombay,Tier-1,8.34,"machine learning, python, web development, java","mobile apps, ai/ml",chennai,pune
STU_0186,student 186,student186@university.edu,bits pilani,Tier-1,7.0,"python, machine learning, web development","web development, data science",chennai,hyderabad
STU_0187,student 187,student187@university.edu,vit chennai,Tier-1,9.47,"python, machine learning, sql, java",web development,pune,bangalore
STU_0188,student 188,student188@university.edu,iit delhi,Tier-1,7.2,"sql, python, java","ai/ml, mobile apps",mumbai,delhi
STU_0189,student 189,student189@university.edu,iit delhi,Tier-1,9.33,"data analysis, sql","web development, mobile apps",delhi,bangalore
STU_0190,student 190,student190@university.edu,nit trichy,Tier-2,8.45,"java, python, web development, python","software development, software development",bangalore,hyderabad
STU_0191,student 191,student191@university.edu,iit bombay,Tier-1,8.32,"java, java, java",data science,chennai,chennai
STU_0192,student 192,student192@university.edu,vit chennai,Tier-2,8.04,"machine learning, python, data analysis","software development, mobile apps",mumbai,mumbai
STU_0193,student 193,student193@university.edu,bits pilani,Tier-3,7.19,"python, java, web development","data science, software development",hyderabad,mumbai
STU_0194,student 194,student194@university.edu,iit bombay,Tier-2,7.03,"machine learning, sql","software development, mobile apps",chennai,chennai
STU_0195,student 195,student195@university.edu,bits pilani,Tier-2,7.16,"data analysis, sql, web development, java","data science, mobile apps",mumbai,delhi
STU_0196,student 196,student196@university.edu,nit trichy,Tier-1,7.06,"web development, machine learning, machine learning, java","software development, web development",delhi,delhi
STU_0197,student 197,student197@university.edu,nit trichy,Tier-1,8.84,"sql, java, web development",data science,delhi,bangalore
STU_0198,student 198,student198@university.edu,iit delhi,Tier-1,7.55,"web development, data analysis, web development",data science,chennai,chennai
STU_0199,student 199,student199@university.edu,vit chennai,Tier-1,6.67,"data analysis, data analysis, machine learning","ai/ml, ai/ml",chennai,delhi
STU_0200,student 200,student200@university.edu,bits pilani,Tier-2,9.41,"web development, machine learning","software development, data science",pune,chennai
STU_0201,student 201,student201@university.edu,iit bombay,Tier-1,9.15,"machine learning, web development",software development,bangalore,hyderabad
STU_0202,student 202,student202@university.edu,nit trichy,Tier-1,9.28,"sql, web development, java","software development, software development",mumbai,mumbai
STU_0203,student 203,student203@university.edu,iit delhi,Tier-1,9.48,"machine learning, machine learning, data analysis, java",ai/ml,chennai,mumbai
STU_0204,student 204,student204@university.edu,iit delhi,Tier-2,7.02,"java, sql, machine learning",web development,bangalore,mumbai
STU_0205,student 205,student205@university.edu,bits pilani,Tier-2,7.69,"python, data analysis, sql, data analysis",data science,pune,chennai
STU_0206,student 206,student206@university.edu,nit trichy,Tier-2,8.77,"machine learning, data analysis","web development, web development",bangalore,chennai
STU_0207,student 207,student207@university.edu,vit chennai,Tier-2,8.59,"data analysis, web development, machine learning",web development,chennai,bangalore
STU_0208,student 208,student208@university.edu,nit trichy,Tier-2,6.96,"web development, machine learning, data analysis, python",software development,delhi,mumbai
STU_0209,student 209,student209@university.edu,bits pilani,Tier-1,8.95,"python, java, machine learning, python","mobile apps, software development",mumbai,bangalore
STU_0210,student 210,student210@university.edu,bits pilani,Tier-3,7.17,"machine learning, sql, sql, python","ai/ml, ai/ml",mumbai,mumbai
STU_0211,student 211,student211@university.edu,nit trichy,Tier-2,7.17,"web development, python, python","data science, data science",delhi,bangalore
STU_0212,student 212,student212@university.edu,bits pilani,Tier-1,8.11,"machine learning, machine learning, sql","data science, ai/ml",chennai,bangalore
STU_0213,student 213,student213@university.edu,nit trichy,Tier-3,8.28,"data analysis, data analysis, machine learning, sql","ai/ml, web development",mumbai,hyderabad
STU_0214,student 214,student214@university.edu,iit bombay,Tier-3,8.24,"python, java, web development, python","mobile apps, web development",chennai,bangalore
STU_0215,student 215,student215@university.edu,nit trichy,Tier-1,6.77,"java, java",ai/ml,pune,chennai
STU_0216,student 216,student216@university.edu,nit trichy,Tier-2,9.13,"web development, sql, python, data analysis","data science, software development",chennai,bangalore
STU_0217,student 217,student217@university.edu,bits pilani,Tier-3,7.3,"data analysis, web development, data analysis",ai/ml,bangalore,mumbai
STU_0218,student 218,student218@university.edu,bits pilani,Tier-3,6.89,"sql, web development","ai/ml, mobile apps",delhi,bangalore
STU_0219,student 219,student219@university.edu,iit delhi,Tier-1,9.17,"web development, sql, java, sql",web development,chennai,delhi
STU_0220,student 220,student220@university.edu,iit delhi,Tier-2,9.37,"java, sql, web development","data science, mobile apps",pune,pune
STU_0221,student 221,student221@university.edu,iit bombay,Tier-2,9.09,"web development, machine learning","data science, data science",hyderabad,mumbai
STU_0222,student 222,student222@university.edu,iit delhi,Tier-2,8.93,"web development, java",web development,delhi,delhi
STU_0223,student 223,student223@university.edu,nit trichy,Tier-2,8.47,"machine learning, data analysis",data science,mumbai,mumbai
STU_0224,student 224,student224@university.edu,bits pilani,Tier-2,8.15,"machine learning, data analysis, java",web development,bangalore,chennai
STU_0225,student 225,student225@university.edu,iit delhi,Tier-2,6.76,"python, python, machine learning, data analysis",data science,mumbai,pune
STU_0226,student 226,student226@university.edu,iit delhi,Tier-3,7.73,"data analysis, data analysis","web development, data science",pune,pune
STU_0227,student 227,student227@university.edu,iit bombay,Tier-1,7.62,"machine learning, python",software development,pune,chennai
STU_0228,student 228,student228@university.edu,iit bombay,Tier-2,7.28,"data analysis, machine learning","data science, software development",mumbai,pune
STU_0229,student 229,student229@university.edu,nit trichy,Tier-3,8.67,"data analysis, data analysis, machine learning","ai/ml, software development",delhi,chennai
STU_0230,student 230,student230@university.edu,bits pilani,Tier-3,7.99,"sql, machine learning, data analysis, java",web development,mumbai,delhi
